,CO,O2,CO2,CO*,O*,*,time,k
50,0.0008073503652375478,-1.3954629029104318e-09,0.001507464799420773,0.33371377612600245,1.7949568082408007,27.871349415631695,1.691,
51,0.0016149166977923407,-9.69452848150506e-09,0.0014579297843351359,0.32599336398526124,1.7799764938833387,27.894050142129903,1.791,
52,0.0023836540776994894,-9.750933563360309e-09,0.001544821579379025,0.34669420101116283,1.77184271969861,27.88148307928909,1.891,
53,0.0030556753425093983,-9.753984494921401e-09,0.0017302961674885028,0.3879601593250976,1.7686389163262657,27.84342092434823,1.991,
54,0.0035699404017046593,-9.83984086518479e-09,0.0019753945532465845,0.4412508473109365,1.7685323935764907,27.790236759111437,2.091,
55,0.0036293246820527326,-9.803647446863424e-09,0.0021991553195082054,0.48959495259337343,1.7683104235091436,27.74211462389562,2.191,
56,0.003191918932620483,9.829792345721994e-05,0.0023338616344703252,0.5178311623618526,1.7704202507921856,27.711768586844826,2.291,
57,0.0025497366449779937,0.00028276829472076106,0.0023620142101388087,0.5215483057961682,1.7776088237069805,27.700862870496444,2.391,
58,0.002004927061963792,0.00031635901485830187,0.002306037298100549,0.5076207631853917,1.7840621962861112,27.70833704052809,2.491,
59,0.002990026177850926,0.0009443442270693562,0.0023223685928175446,0.5096185512146666,1.7887845475186754,27.701616901266146,2.505,
60,0.003475486558747578,0.0012596634114706272,0.0023244726165062095,0.5099126798447551,1.789270669762422,27.700836650392304,2.506,
61,0.004334260144447687,0.0018822221660447956,0.00232819480811992,0.5104614978115772,1.7900378054950872,27.69952069669281,2.507,
62,0.005542440300799747,0.0028060586376986597,0.002334230209409223,0.5113684140156487,1.7912230371097073,27.697428548874125,2.508,
63,0.007037838991942012,0.003987101037750006,0.0023431583059837766,0.5127177242750067,1.7929428686918814,27.694359407032586,2.509,
64,0.008744037034546383,0.005364041387686946,0.002355416284244842,0.5145708040833011,1.7952855933605323,27.690163602555632,2.51,
65,0.010587709174928947,0.0068757029059192,0.0023713043808086687,0.5169669962188097,1.7983111991737228,27.684741804606926,2.511,
66,0.012503925536023855,0.008467305230987912,0.0023910070984979608,0.5199268724338116,1.8020549996542259,27.678038127911417,2.512,
67,0.014438113008851438,0.01009273126613915,0.0024146101244977972,0.5234548478126821,1.8065311107249866,27.67003404146179,2.513,
68,0.016346826477034778,0.011716308563920306,0.0024421208427390646,0.5275423222697652,1.8117370848953007,27.66074059283439,2.514,
69,0.01819545386263453,0.0133106780210418,0.0024734860746874576,0.5321705136762299,1.8176579616974753,27.65019152462575,2.515,
70,0.019961020548592084,0.014855786720248445,0.0025086076787999975,0.5373133163488948,1.8242689817308952,27.63843770191966,2.516,
71,0.021626235535058602,0.016337882382533416,0.0025473583578299566,0.5429398242166172,1.8315393725047033,27.625540803278135,2.517,
72,0.02318039970139318,0.01774705585353197,0.0025895922673535385,0.5490163648224293,1.8394341833896033,27.61156945178742,2.518,
73,0.02461924801180999,0.019078430499772866,0.0026351529170888033,0.5555079150098443,1.8479161092158196,27.59659597577379,2.519,
74,0.02594098768423735,0.020328365181977632,0.002683875339341079,0.562378718624955,1.8569459596932576,27.580695321681244,2.52,
75,0.027147993819926913,0.02149556479816724,0.002735594487422138,0.5695938149142341,1.8664840211375986,27.56394216394762,2.521,
76,0.028243443113429155,0.02258051423629404,0.0027901471673807627,0.5771193302854142,1.8764909714810039,27.546409698233028,2.522,
77,0.029232686861175868,0.023584397399365978,0.0028473749453501764,0.5849231083233998,1.886928177732181,27.528168713943863,2.523,
78,0.03012115882991344,0.024508285885558437,0.002907123258590897,0.5929746721900704,1.8977576016717395,27.50928772613764,2.524,
79,0.03091212952029495,0.025355092882139,0.002969239054215843,0.6012445433661419,1.9089426916461976,27.489832764987106,2.525,
80,0.03161307255407261,0.02612840591411431,0.003033572764768454,0.6097048338323884,1.9204479650539583,27.469867201113093,2.526,
81,0.032229871809126315,0.02683155510599629,0.0030999826073600315,0.6183297664667841,1.9322399170097797,27.449450316522867,2.527,
82,0.032767811471883956,0.02746888015627806,0.0031683345697580867,0.6270954811119744,1.9442874909648091,27.42863702792264,2.528,
83,0.033231233574740386,0.028044472353010483,0.003238497929135354,0.6359793258581528,1.9565615491727257,27.407479124968546,2.529,
84,0.03362452830616964,0.028562441431948832,0.003310345423550726,0.6449598579150171,1.9690348606285932,27.386025281455815,2.53,
85,0.03395372158358408,0.02902788277038465,0.003383758021582591,0.6540174756782404,1.981682661842955,27.364319862478222,2.531,
86,0.03456859184361912,0.031162693385085864,0.0041771672125608195,0.7444619230793472,2.1142526180484102,27.14130545887151,2.541,
87,0.03320897370522404,0.031246601627670883,0.005012523534254293,0.8286482269036428,2.243595853890537,26.92777591920523,2.551,
88,0.03099329360630247,0.030190149288888694,0.005850811129042469,0.9041536732042799,2.36512677415037,26.730739552644618,2.561,
89,0.028507320239993635,0.028594193673853026,0.006664636128843607,0.9703327052809749,2.477030618877238,26.552656675841057,2.571,
90,0.026054015955447467,0.026764647310977857,0.0074358760908005165,1.0274724761091891,2.5788339849857556,26.393713538904034,2.581,
91,0.02376161397822833,0.024857012532459272,0.008153018589566114,1.0762556728841015,2.670694663253755,26.25306966386083,2.591,
92,0.014903688214458411,0.01704034072200516,0.01003584511143121,1.1670931706770193,2.9473245250218603,25.88560230429981,2.641,
93,0.010039637081062888,0.011143503784351503,0.010798845017698995,1.179040713844637,3.0995720347199907,25.721407251434062,2.691,
94,0.007494731737483296,0.007143013615492072,0.010878654660909752,1.1554024703800145,3.1738339420076933,25.67078358761098,2.741,
95,0.006029688477672833,0.004621594219456689,0.010589969841474492,1.1157437588941908,3.2022366173167076,25.682039623786334,2.791,
96,0.0046427154382928494,0.0021512124165763953,0.009583367167339344,1.025075567442285,3.181576715896255,25.793367716661603,2.891,
97,0.0037893207735344337,0.0010953632258339746,0.008523168962923612,0.935007799645448,3.1351031933461155,25.929909007005673,2.991,
98,0.0032423822974007132,0.0007688087749759376,0.007583668613671667,0.8523705448263649,3.090154030916874,26.057495424256906,3.091,
99,0.0030469887789564346,0.0006983180460863475,0.006856845296710713,0.7854294894997292,3.055749600015812,26.158840910486052,3.191,
100,0.0027384263871563,0.0007330456614398469,0.006248016969051453,0.7257192132664315,3.03263339878999,26.241667387943718,3.291,
101,0.002547357079703473,0.0006919267746468337,0.005743097611578013,0.6743125381563088,3.0157118268412773,26.309995635002554,3.391,
102,0.0022403275211513142,0.0005756080301344977,0.0052621916352186115,0.6244216546334502,2.999073791667152,26.37652455369954,3.491,
103,0.0017956490258535355,0.0004284564858492802,0.004741296525240342,0.5696321826962677,2.9789579956970695,26.451429821608258,3.591,
104,0.0015253779617620754,0.00038512904565146764,0.004252149934372069,0.5167312899983983,2.9609493928289776,26.522339317172765,3.691,
105,0.001131105019261868,0.0004729875179719111,0.003757757597666106,0.46073689470103285,2.9496149783171806,26.589668126980474,3.791,
106,0.0009564252849369369,0.00045023267274215035,0.003311706648758337,0.40913413839005874,2.940698258360684,26.650187603247215,3.891,
107,0.0007233759399186263,0.0003244544948105498,0.0028741332352257773,0.3583020276977359,2.928106453042881,26.713611519257338,3.991,
108,0.0006345749488822774,0.00021331852453689506,0.0024909291012173004,0.31346852011583465,2.913567359049183,26.772984120832938,4.091,
109,0.0005380580492156903,2.1828074462035586e-05,0.00213951702438987,0.27250951833059567,2.8921083078457914,26.835402173822295,4.191,
110,0.000330637306348903,-9.693316732064725e-09,0.0017905774847028467,0.23087267097461006,2.8704384234587437,26.898708905565325,4.291,
111,0.00041100637115468565,-9.892022429797794e-09,0.0015249550713986148,0.19871204020790423,2.8511508363827547,26.950157123408385,4.391,
